Month Year,Trip advisor,Airbnb,MMT/Goibibo,Agoda,Booking.Com,Rating,Locality
Jan-2024,1,5,,1,,5,PERCH
Jan-2024,,3,2,,,4,PERCH
Jan-2024,,,,,3,PERCH
Jan-2024,,1,,,,2,PERCH
Jan-2024,,,,,1,PERCH
Jan-2024,,5,,2,5,Arbor
Jan-2024,,1,,,,4,Arbor
Jan-2024,,2,,,,3,Arbor
Jan-2024,,,1,,,2,Arbor
Jan-2024,,,,,1,Arbor
Jan-2024,2,3,1,1,1,5,Golf course
Jan-2024,,1,,,4,Golf course
Jan-2024,,2,,1,3,Golf course
Jan-2024,,,,,2,Golf course
Jan-2024,,,,,1,Golf course
Jan-2024,,6,1,2,,5,MG Road
Jan-2024,,1,1,,,4,MG Road
Jan-2024,,,2,,3,MG Road
Jan-2024,,,1,,2,MG Road
Jan-2024,,,,,1,MG Road
Jan-2024,1,5,13,1,2,5,Cyber City-36
Jan-2024,,2,3,,,4,Cyber City-36
Jan-2024,,,3,1,1,3,Cyber City-36
Jan-2024,,,2,,2,Cyber City-36
Jan-2024,,,,,1,Cyber City-36
Jan-2024,,3,5,2,3,5,Arbor Cyber City- 69 A
Jan-2024,,,2,1,1,4,Arbor Cyber City- 69 A
Jan-2024,,,,,2,3,Arbor Cyber City- 69 A
Jan-2024,,,,1,2,Arbor Cyber City- 69 A
Jan-2024,,,,,1,Arbor Cyber City- 69 A
Feb-2024,,7,,,,5,PERCH
Feb-2024,,2,,,,4,PERCH
Feb-2024,,,,,3,PERCH
Feb-2024,,,,1,2,PERCH
Feb-2024,,,,,1,PERCH
Feb-2024,,1,,1,1,5,Arbor
Feb-2024,,1,,,,4,Arbor
Feb-2024,1,,,,,3,Arbor
Feb-2024,,,,,2,Arbor
Feb-2024,,,,,1,Arbor
Feb-2024,,2,,,,5,Golf course
Feb-2024,,3,1,,,4,Golf course
Feb-2024,,1,,,,3,Golf course
Feb-2024,,,1,,2,Golf course
Feb-2024,,,,,1,Golf course
Feb-2024,,3,1,,,5,MG Road
Feb-2024,,3,3,,1,4,MG Road
Feb-2024,,1,,2,,3,MG Road
Feb-2024,1,,,1,,2,MG Road
Feb-2024,,,,,1,MG Road
Feb-2024,,3,7,,1,5,Cyber City-36
Feb-2024,,,6,1,2,4,Cyber City-36
Feb-2024,,,2,,,3,Cyber City-36
Feb-2024,,,2,,1,2,Cyber City-36
Feb-2024,,,,,1,Cyber City-36
Feb-2024,,3,4,2,2,5,Arbor Cyber City- 69 A
Feb-2024,,2,,1,,4,Arbor Cyber City- 69 A
Feb-2024,,,1,1,1,3,Arbor Cyber City- 69 A
Feb-2024,,,1,,3,2,Arbor Cyber City- 69 A
Feb-2024,,,,,1,Arbor Cyber City- 69 A
Mar-2024,,4,,,,5,PERCH
Mar-2024,,1,,,,4,PERCH
Mar-2024,,1,,,,3,PERCH
Mar-2024,,,,,2,PERCH
Mar-2024,,,,,1,PERCH
Mar-2024,,2,,1,1,5,Arbor
Mar-2024,,1,,1,1,4,Arbor
Mar-2024,,,,1,3,Arbor
Mar-2024,,,,1,2,Arbor
Mar-2024,,,,,1,Arbor
Mar-2024,,3,,2,5,Golf course
Mar-2024,,1,,,,4,Golf course
Mar-2024,,,,,3,Golf course
Mar-2024,,1,,,,2,Golf course
Mar-2024,,,,,1,Golf course
Mar-2024,3,3,,1,,5,MG Road
Mar-2024,,1,2,,,4,MG Road
Mar-2024,,,2,,3,MG Road
Mar-2024,,,3,,2,MG Road
Mar-2024,,,,,1,MG Road
Mar-2024,,6,10,3,7,5,Cyber City-36
Mar-2024,,2,7,2,2,4,Cyber City-36
Mar-2024,,,1,,1,3,Cyber City-36
Mar-2024,,,,,2,Cyber City-36
Mar-2024,,,,,1,Cyber City-36
Mar-2024,,2,4,,6,5,Arbor Cyber City- 69 A
Mar-2024,,2,1,1,4,4,Arbor Cyber City- 69 A
Mar-2024,,,1,1,1,3,Arbor Cyber City- 69 A
Mar-2024,,,1,,2,Arbor Cyber City- 69 A
Mar-2024,,,,,1,Arbor Cyber City- 69 A
Apr-2024,1,3,,,N/A,5,PERCH
Apr-2024,,2,,,,4,PERCH
Apr-2024,1,,1,,3,PERCH
Apr-2024,1,,,,,2,PERCH
Apr-2024,,,,,1,PERCH
Apr-2024,9,,,2,5,Arbor
Apr-2024,1,1,,,,4,Arbor
Apr-2024,,,,,3,Arbor
Apr-2024,,,,,2,Arbor
Apr-2024,,,,,1,Arbor
Apr-2024,1,2,,,,5,Golf course
Apr-2024,1,2,,1,4,Golf course
Apr-2024,,,,,3,Golf course
Apr-2024,,,,,2,Golf course
Apr-2024,,,,,1,Golf course
Apr-2024,8,2,2,1,,5,MG Road
Apr-2024,,1,2,,,4,MG Road
Apr-2024,,,,,3,MG Road
Apr-2024,,,,,2,MG Road
Apr-2024,,,,,1,MG Road
Apr-2024,8,8,19,1,3,5,Cyber City-36
Apr-2024,,1,6,1,,4,Cyber City-36
Apr-2024,,,,,3,Cyber City-36
Apr-2024,,,,1,2,Cyber City-36
Apr-2024,,,,,1,Cyber City-36
Apr-2024,7,2,3,,1,5,Arbor Cyber City- 69 A
Apr-2024,1,1,3,1,1,4,Arbor Cyber City- 69 A
Apr-2024,,,1,1,3,Arbor Cyber City- 69 A
Apr-2024,,,1,1,2,Arbor Cyber City- 69 A
Apr-2024,,,,,1,Arbor Cyber City- 69 A
